SIMULATION_NAME,PRODUCT_GRP,SEGMNT,TOTAL_CUST_ORDER,TOT_CUSTORDER_ALLOCATION,TOT_FORCAST_ORDER,TOT_FCSTORDER_ALLOCATION,TOTAL_ORDER,TOTAL_ALLOCATION,MONTH,PRIORITY,UDC_SEGMENT
MONTHLY_MAX_DEMSAT,GI,RE_DOMESTIC,0,0,2179,2179,2179,2179,01-May-25,58,EMG
MONTHLY_MAX_DEMSAT,TIN,MS_DOMESTIC,0,0,1338,1338,1338,1338,01-May-25,2000,PRY
MONTHLY_MAX_DEMSAT,PPGI,RE_DOMESTIC,0,0,438,438,438,438,01-May-25,58,FOC
MONTHLY_MAX_DEMSAT,TMT-CF,OE_DOMESTIC,0,0,486,410,486,410,01-May-25,58,STR
MONTHLY_MAX_DEMSAT,HTPRB_BRM,SA_DOMESTIC,0,0,18,18,18,18,01-May-25,2000,EMG
MONTHLY_MAX_DEMSAT,GL,RE_DOMESTIC,220,0,0,0,220,0,01-Feb-25,-1,FOC
MONTHLY_MAX_DEMSAT,HR,RE_DOMESTIC,17441.275,16919.635,0,0,17441.275,16919.635,01-Feb-25,5,PRY
MONTHLY_MAX_DEMSAT,TFS,OE_DOMESTIC,198.5,0,0,0,198.5,0,01-Feb-25,-1,PRY
MONTHLY_MAX_DEMSAT,TIN,OE_EXPORTS,917.89,917.89,0,0,917.89,917.89,01-Feb-25,2500,EMG
MONTHLY_MAX_DEMSAT,TMT,DE_DOMESTIC,0,0,273,273,273,273,01-Feb-25,12,FOC
MONTHLY_MAX_DEMSAT,HRPO,RE_DOMESTIC,0,0,2298,1997,2298,1997,01-Feb-25,10,STR
MONTHLY_MAX_DEMSAT,PPGI,OE_DOMESTIC,0,0,110,90,110,90,01-Feb-25,8,FOC
MONTHLY_MAX_DEMSAT,PPGL,OE_DOMESTIC,0,0,2057,1499,2057,1499,01-Feb-25,8,STP
MONTHLY_MAX_DEMSAT,HRCTL,RE_DOMESTIC,924.95,924.95,0,0,924.95,924.95,01-Feb-25,5,FOC
MONTHLY_MAX_DEMSAT,WR - L,MS_DOMESTIC,215.98,215.98,0,0,215.98,215.98,01-Feb-25,4,STR
MONTHLY_MAX_DEMSAT,PRB_BRM,DE_DOMESTIC,61.16,61.16,0,0,61.16,61.16,01-Feb-25,4,STR
MONTHLY_MAX_DEMSAT,WR - AL,RE_DOMESTIC,5,0,0,0,5,0,01-Feb-25,-1,STR
MONTHLY_MAX_DEMSAT,HTPRB_BLM,SA_DOMESTIC,40,0,0,0,40,0,01-Feb-25,-1,STR
MONTHLY_MAX_DEMSAT,BS,SA_DOMESTIC,0,0,147,147,147,147,01-Mar-25,2000,STP
MONTHLY_MAX_DEMSAT,GA,SA_DOMESTIC,0,0,1078,1074,1078,1074,01-Mar-25,2000,PRY
MONTHLY_MAX_DEMSAT,HR,MS_DOMESTIC,0,0,2197,2029,2197,2029,01-Mar-25,37,STP
MONTHLY_MAX_DEMSAT,ZM,OE_DOMESTIC,0,0,202,202,202,202,01-Mar-25,2000,STP
MONTHLY_MAX_DEMSAT,RCS,RE_DOMESTIC,0,0,72,72,72,72,01-Mar-25,36,STR
MONTHLY_MAX_DEMSAT,HRPO,SA_DOMESTIC,0,0,787,712,787,712,01-Mar-25,36,PRY
MONTHLY_MAX_DEMSAT,PPGL,OE_DOMESTIC,0,0,2741,2684,2741,2684,01-Mar-25,33,STP
MONTHLY_MAX_DEMSAT,CRCA,SA_DOMESTIC,0,0,47288,47044,47288,47044,01-Apr-25,2000,STP
MONTHLY_MAX_DEMSAT,TMT-CF,OE_DOMESTIC,0,0,5863,5863,5863,5863,01-Apr-25,50,STP
MONTHLY_MAX_DEMSAT,PRB_BLM,RE_DOMESTIC,0,0,722,722,722,722,01-Apr-25,49,STR
MONTHLY_MAX_DEMSAT,GI,RE_DOMESTIC,0,0,20746,20676,20746,20676,01-May-25,58,PRY
MONTHLY_MAX_DEMSAT,ZM,OE_DOMESTIC,0,0,710,710,710,710,01-May-25,58,PRY
MONTHLY_MAX_DEMSAT,RCS,SA_DOMESTIC,0,0,3533,3471,3533,3471,01-May-25,2000,STP
MONTHLY_MAX_DEMSAT,CRFH,OE_DOMESTIC,0,0,365,243,365,243,01-May-25,58,STR
MONTHLY_MAX_DEMSAT,PPGI,MS_DOMESTIC,0,0,31,31,31,31,01-May-25,58,STR
MONTHLY_MAX_DEMSAT,SLAB,OE_DOMESTIC,0,0,909,767,909,767,01-May-25,58,EMG
MONTHLY_MAX_DEMSAT,HRCTL,SA_DOMESTIC,0,0,1490,1463,1490,1463,01-May-25,2000,STR
MONTHLY_MAX_DEMSAT,PRB_BLM,RE_DOMESTIC,0,0,760,760,760,760,01-May-25,58,STR
MONTHLY_MAX_DEMSAT,HTPRB_BLM,SA_DOMESTIC,0,0,23,23,23,23,01-May-25,2000,STR
MONTHLY_MAX_DEMSAT,GI,RE_DOMESTIC,1144.82,644.819999,0,0,1144.82,644.819999,01-Feb-25,3,STP
MONTHLY_MAX_DEMSAT,GL,MS_DOMESTIC,2175.25,2175.249997,0,0,2175.25,2175.249997,01-Feb-25,3,STR
MONTHLY_MAX_DEMSAT,HR,OE_DOMESTIC,2517.06,0,0,0,2517.06,0,01-Feb-25,-1,EMG
MONTHLY_MAX_DEMSAT,HR,MS_DOMESTIC,0,0,1460,1313,1460,1313,01-Feb-25,12,STP
MONTHLY_MAX_DEMSAT,TIN,OE_DOMESTIC,197,0,0,0,197,0,01-Feb-25,-1,EMG
MONTHLY_MAX_DEMSAT,TMT,RE_DOMESTIC,0,0,29317,29317,29317,29317,01-Feb-25,12,STR
MONTHLY_MAX_DEMSAT,CRCA,OE_DOMESTIC,0,0,3440,3440,3440,3440,01-Feb-25,10,STR
MONTHLY_MAX_DEMSAT,HRGI,MS_DOMESTIC,32.26,32.26,0,0,32.26,32.26,01-Feb-25,3,STR
MONTHLY_MAX_DEMSAT,NOFP,MS_DOMESTIC,726.84,720.270004,0,0,726.84,720.270004,01-Feb-25,2,STR
MONTHLY_MAX_DEMSAT,HRCTL,MS_DOMESTIC,0,0,161,161,161,161,01-Feb-25,12,PRY
MONTHLY_MAX_DEMSAT,HRCTL,OE_DOMESTIC,3824,0,0,0,3824,0,01-Feb-25,-1,STP
MONTHLY_MAX_DEMSAT,WR - L,OE_DOMESTIC,0,0,11760,11760,11760,11760,01-Feb-25,11,STR
MONTHLY_MAX_DEMSAT,HTPRB_BRM,SA_DOMESTIC,29.08,29.08,0,0,29.08,29.08,01-Feb-25,2500,STR
MONTHLY_MAX_DEMSAT,HR,MS_DOMESTIC,175,0,0,0,175,0,01-Mar-25,-1,STR
MONTHLY_MAX_DEMSAT,TIN,RE_DOMESTIC,0,0,5,5,5,5,01-Mar-25,2000,EMG
MONTHLY_MAX_DEMSAT,CRCA,SA_DOMESTIC,0,0,647,645,647,645,01-Mar-25,36,STR
MONTHLY_MAX_DEMSAT,GBAL,OE_DOMESTIC,0,0,32,0,32,0,01-Mar-25,33,EMG
MONTHLY_MAX_DEMSAT,HRCTL,RE_DOMESTIC,81.1,81.1,0,0,81.1,81.1,01-Mar-25,24,STR
